study_id,session_id,trial_id,run_id,sequence_order,model_name,timestamp,domain,stem,tld,tld_type,label_type,prompt_type,prompt_id,classification,classification_confidence,handling_path,handling_path_numeric,risk_weighting,risk_numeric,scrutiny,scrutiny_numeric,verification_priority,verification_numeric,overall_confidence,confidence_avg,explicit_difference,difference_type,justification_type,justification_notes,caution_count,mentions_risk,mentions_verification,mentions_uncertainty,mentions_scrutiny,coder_id,coding_version
study1_P1,S1,P1_058,R1,4,chatgpt,2026-05-28,lanteravia.legal,lanteravia,.legal,sector-specific,legal,full_triage,S1_P1,legal services/legal sector,72,Path A,1,medium,2,yes,1,high,3,medium,64,yes,"classification,risk,scrutiny,verification",structural,Frames .legal as a comparatively meaningful professional/legal namespace signal that justifies elevated procedural caution despite absent semantic or operational corroboration. Elevated scrutiny and high verification priority are driven by potential downstream legal/compliance consequences rather than any presumption of legitimacy or threat.,7,1,1,1,0,RF,v1
study1_P1,S1,P1_059,R1,5,chatgpt,2026-05-28,lanteravia.kids,lanteravia,.kids,sector-specific,child-oriented,full_triage,S1_P1,children/youth-oriented consumer or educational web presence (tentative),58,Path A,1,medium,2,yes,1,high,3,medium,72,yes,"classification,risk,scrutiny,verification",structural,Frames .kids as a meaningful child/youth-oriented namespace signal that increases procedural sensitivity despite absent semantic or operational corroboration. Elevated scrutiny and high verification priority are justified by uncertainty management and downstream child-safety considerations rather than any legitimacy or threat inference.,9,1,1,1,0,RF,v1
study1_P1,S1,P1_060,R1,6,chatgpt,2026-05-28,lanteravia.org,lanteravia,.org,general-purpose,general,full_triage,S1_P1,nonprofit/organizational/advocacy-related web presence (tentative),58,Path B,2,medium,2,yes,1,medium,2,medium,72,yes,"classification,risk,scrutiny,verification",structural,"Frames .org as a weak organizational/nonprofit namespace signal that modestly informs procedural orientation without establishing sector certainty or legitimacy. Emphasizes uncertainty-driven scrutiny and explicit uncertainty-preserving handling due to absent operational, ownership, or content-level corroboration.",5,0,1,0,0,RF,v1
study1_P1,S1,P1_061,R1,1,chatgpt,2026-05-28,merquonix.com,merquonix,.com,general-purpose,general,full_triage,S1_P1,unclear,92,Path B,2,medium,2,yes,1,high,3,medium,78,yes,"classification,risk,scrutiny,verification",structural,"Frames merquonix.com as a maximal signal-scarcity case under general-purpose namespace conditions. Emphasizes informational absence rather than positive threat evidence, producing medium risk weighting, heightened scrutiny, high verification priority, and uncertainty-preserving handling while explicitly withholding sector or legitimacy inference.",3,0,1,0,0,RF,v1
study1_P1,S1,P1_062,R1,2,chatgpt,2026-05-28,merquonix.med,merquonix,.med,sector-specific,medical,full_triage,S1_P1,medical/healthcare-related,72,Path A,1,high,3,yes,1,high,3,high,81,yes,"classification,risk,scrutiny,verification",structural,Frames .med as a comparatively strong healthcare-oriented namespace signal that materially elevates procedural caution despite absent operational or semantic corroboration. Elevated scrutiny and high verification priority are driven by asymmetric downstream health-related consequences and unresolved uncertainty rather than legitimacy or authority inference.,8,1,1,1,0,RF,v1
study1_P1,S1,P1_063,R1,3,chatgpt,2026-05-28,merquonix.finance,merquonix,.finance,sector-specific,finance,full_triage,S1_P1,finance/financial services (tentative namespace-level association),72,Path A,1,high,3,yes,1,high,3,high,81,yes,"classification,risk,scrutiny,verification",structural,Frames .finance as a comparatively strong finance-oriented namespace signal that materially increases procedural sensitivity despite absent operational or semantic corroboration. Elevated scrutiny and high verification priority are driven by potential downstream financial/regulatory consequences and unresolved uncertainty rather than any legitimacy or trustworthiness inference.,9,1,1,1,1,RF,v1
study1_P1,S1,P1_064,R1,4,chatgpt,2026-05-28,merquonix.legal,merquonix,.legal,sector-specific,legal,full_triage,S1_P1,legal/legal-services-adjacent,72,Path A,1,medium,2,yes,1,high,3,medium,68,yes,"classification,risk,scrutiny,verification",structural,Frames .legal as a meaningful professional/legal namespace signal that justifies elevated procedural caution despite absent semantic or operational corroboration. Elevated scrutiny and high verification priority are driven by possible downstream legal/compliance implications and the risk of premature authority inference from namespace cues alone.,7,1,1,1,0,RF,v1
study1_P1,S1,P1_065,R1,5,chatgpt,2026-05-28,merquonix.kids,merquonix,.kids,sector-specific,child-oriented,full_triage,S1_P1,children/youth-oriented space (tentative),42,Path A,1,medium,2,yes,1,high,3,medium,64,yes,"classification,risk,scrutiny,verification",structural,Frames .kids as a weak but procedurally meaningful child/youth-oriented namespace signal under conditions of severe informational absence. Elevated scrutiny and high verification priority are justified by downstream sensitivity considerations and unresolved uncertainty rather than any legitimacy or threat inference.,8,1,1,1,0,RF,v1
study1_P1,S1,P1_066,R1,6,chatgpt,2026-05-28,merquonix.org,merquonix,.org,general-purpose,general,full_triage,S1_P1,unclear,82,Path B,2,medium,2,yes,1,medium,2,medium,71,yes,"classification,risk,scrutiny,verification",structural,"Frames .org as providing only weak organizational/nonprofit-oriented namespace signaling insufficient for substantive sector classification under constrained uncertainty. Emphasizes unresolved informational sparsity, uncertainty-driven scrutiny, and uncertainty-preserving handling while explicitly avoiding legitimacy, authority, or threat inference.",4,0,1,0,0,RF,v1
study1_P1,S1,P1_067,R1,1,chatgpt,2026-05-28,caldrison.com,caldrison,.com,general-purpose,general,full_triage,S1_P1,unclear,88,Path B,2,medium,2,yes,1,medium,2,medium,74,yes,"classification,risk,scrutiny,verification",structural,"Frames caldrison.com as a general-purpose namespace case with insufficient observable signal for meaningful sector classification. Emphasizes unresolved uncertainty, absence of corroborating operational/contextual evidence, and uncertainty-preserving handling while explicitly avoiding legitimacy, authority, or adversarial inference.",3,0,1,0,0,RF,v1
study1_P1,S1,P1_068,R1,2,chatgpt,2026-05-28,caldrison.med,caldrison,.med,sector-specific,medical,full_triage,S1_P1,healthcare/medical-related (tentative),68,Path A,1,high,3,yes,1,high,3,high,82,yes,"classification,risk,scrutiny,verification",structural,"Frames .med as a comparatively meaningful healthcare-oriented namespace signal that increases procedural sensitivity despite absent semantic, organizational, or operational corroboration. Elevated scrutiny and high verification priority are driven by possible downstream health-related consequences and unresolved uncertainty rather than legitimacy or authority inference.",8,1,1,1,0,RF,v1
study1_P1,S1,P1_069,R1,3,chatgpt,2026-05-28,caldrison.finance,caldrison,.finance,sector-specific,finance,full_triage,S1_P1,finance/financial services,72,Path A,1,high,3,yes,1,high,3,high,81,yes,"classification,risk,scrutiny,verification",structural,"Frames .finance as a comparatively strong finance-oriented namespace signal that materially elevates procedural sensitivity despite absent semantic, organizational, or operational corroboration. Elevated scrutiny and high verification priority are driven by potential downstream financial/legal consequences and unresolved uncertainty rather than legitimacy or threat inference.",9,1,1,1,1,RF,v1
study1_P1,S1,P1_070,R1,4,chatgpt,2026-05-28,caldrison.legal,caldrison,.legal,sector-specific,legal,full_triage,S1_P1,legal services/legal-domain infrastructure,72,Path A,1,medium,2,yes,1,high,3,medium,68,yes,"classification,risk,scrutiny,verification",structural,"Frames .legal as a meaningful legal/professional namespace signal that justifies elevated procedural caution despite absent semantic, operational, or external corroboration. Elevated scrutiny and high verification priority are driven by possible downstream legal/compliance implications and unresolved uncertainty rather than legitimacy or authority inference.",7,1,1,1,0,RF,v1
study1_P1,S1,P1_071,R1,5,chatgpt,2026-05-28,caldrison.kids,caldrison,.kids,sector-specific,child-oriented,full_triage,S1_P1,child-related/youth-oriented namespace category (operational subject unclear),62,Path A,1,medium,2,yes,1,high,3,medium,71,yes,"classification,risk,scrutiny,verification",structural,"Frames .kids as a procedurally meaningful child/youth-oriented namespace signal under conditions of substantial informational absence. Elevated scrutiny and high verification priority are driven by downstream child-safety sensitivity and unresolved uncertainty rather than legitimacy, safety, or authority inference.",8,1,1,1,0,RF,v1
study1_P1,S1,P1_072,R1,6,chatgpt,2026-05-28,caldrison.org,caldrison,.org,general-purpose,general,full_triage,S1_P1,unclear,88,Path B,2,medium,2,yes,1,medium,2,medium,74,yes,"classification,risk,scrutiny,verification",structural,"Frames .org as providing only weak organizational/nonprofit-oriented namespace signaling insufficient for reliable sector classification under constrained uncertainty. Emphasizes unresolved informational sparsity, uncertainty-driven scrutiny, and uncertainty-preserving handling while explicitly avoiding legitimacy, authority, or maliciousness inference.",4,0,1,0,0,RF,v1
